hora,min, seg, preço,volume,agressor,classificador
9,0,40,5520,20,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,15,Leilão,0
9,0,40,5520,10,Leilão,0
9,0,40,5520,20,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,15,Leilão,0
9,0,40,5520,20,Leilão,0
9,0,40,5520,10,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,10,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,10,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,25,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,25,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,10,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,10,Leilão,0
9,0,40,5520,10,Leilão,0
9,0,40,5520,5,Leilão,0
9,0,40,5520,10,Leilão,0
9,0,40,5520,10,Leilão,0
9,0,41,5520.5,5,Vendedor,0
9,0,41,5522,5,Comprador,0
9,0,41,5520.5,5,Vendedor,0
9,0,41,5520.5,5,Vendedor,0
9,0,41,5522,5,Comprador,0
9,0,42,5519.5,15,Comprador,0
9,0,42,5520,5,Comprador,0
9,0,42,5519.5,5,Vendedor,0
9,0,42,5520,5,Vendedor,0
9,0,42,5520,25,Vendedor,0
9,0,42,5520,75,Vendedor,0
9,0,42,5520,15,Vendedor,0
9,0,42,5520,5,Vendedor,0
9,0,42,5520,5,Vendedor,0
9,0,42,5521,20,Vendedor,0
9,0,43,5520,5,Comprador,0
9,0,43,5519.5,5,Vendedor,0
9,0,43,5519,5,Vendedor,0
9,0,44,5520.5,5,Comprador,0
9,0,45,5520.5,5,Comprador,0
9,0,46,5521,5,Comprador,0
9,0,46,5519.5,5,Vendedor,0
9,0,46,5520,5,Comprador,0
9,0,47,5519.5,5,Vendedor,0
9,0,47,5519.5,5,Vendedor,0
9,0,47,5521.5,5,Comprador,0
9,0,48,5520.5,5,Comprador,0
9,0,48,5520.5,5,Comprador,0
9,0,49,5520,5,Vendedor,0
9,0,50,5520.5,5,Comprador,0
9,0,50,5520.5,5,Comprador,0
9,0,51,5520.5,5,Comprador,0
9,0,52,5520.5,5,Vendedor,0
9,0,53,5519,5,Vendedor,0
9,0,53,5519,5,Vendedor,0
9,0,53,5519.5,5,Vendedor,0
9,0,53,5519.5,5,Vendedor,0
9,0,54,5519.5,5,Vendedor,0
9,0,54,5520,5,Comprador,0
9,0,56,5519.5,5,Vendedor,0
9,0,56,5519.5,5,Vendedor,0
9,0,56,5520,5,Vendedor,0
9,0,57,5520,5,Vendedor,0
9,0,57,5520,5,Vendedor,0
9,0,57,5521,5,Comprador,0
9,0,57,5520.5,5,Comprador,0
9,0,57,5520.5,5,Comprador,0
9,0,57,5520.5,20,Comprador,0
9,0,57,5520,5,Comprador,0
9,0,57,5520,5,Comprador,0
9,0,57,5519.5,5,Comprador,0
9,0,57,5519,5,Comprador,0
9,0,57,5519,5,Comprador,0
9,0,57,5518.5,20,Vendedor,0
9,0,57,5518.5,20,Vendedor,0
9,0,57,5518.5,10,Vendedor,0
9,0,57,5518.5,15,Vendedor,0
9,0,57,5518.5,10,Vendedor,0
9,0,57,5519,5,Comprador,0
9,0,57,5519,5,Comprador,0
9,0,57,5519,5,Comprador,0
9,0,57,5518.5,5,Vendedor,0
9,0,57,5518.5,5,Vendedor,0
9,0,57,5518.5,5,Vendedor,0
9,0,57,5518.5,5,Vendedor,0
9,0,57,5518.5,5,Comprador,0
9,0,57,5517,5,Vendedor,0
9,0,57,5517.5,5,Vendedor,0
9,0,57,5517.5,10,Vendedor,0
9,0,57,5517.5,20,Vendedor,0
9,0,57,5517.5,20,Vendedor,0
9,0,57,5517.5,5,Vendedor,0
9,0,57,5518,5,Vendedor,0
